,id_de_resenha,edad,precio_usd,tasa_de_cambio_a_usd,calificacion,calificacion_duracion_bateria,calificacion_camara,calificacion_rendimiento,calificacion_disenho,calificacion_pantalla,longitud_de_resenha,numero_de_palabras,votos_utiles
id_de_resenha,1.0,-0.0020398313143382128,0.0003542336014095854,-0.0072183166955900515,-0.002260321391390775,-0.004487928395784377,-0.001507011441304323,0.003093556473270547,-0.004945553383687488,0.0007924259767922685,-0.004541496563389552,-0.001280589357963882,-0.011662403445470917
edad,-0.0020398313143382128,1.0,0.0028572782984892697,0.004461442706542573,0.007518162796887585,0.00537405200081926,0.008937372563234928,0.00470791726800448,0.010163367855811487,0.009175688757963145,-0.0025460076637637517,-0.002833108616560014,-0.005120559443726388
precio_usd,0.0003542336014095854,0.0028572782984892697,1.0,-0.0014274989140266915,0.0010666917385372906,0.0010328665823790511,0.0016170121143362797,-0.00488179690340612,0.0026884102932983917,-0.00046790505530674384,0.0005122205022497556,-0.0034790208349403796,0.0029945627010846292
tasa_de_cambio_a_usd,-0.0072183166955900515,0.004461442706542573,-0.0014274989140266915,1.0,-0.0020297701901804475,-0.007071272833705023,0.00039078249267707345,0.004773706731862132,0.0031309607631937303,-0.00017937113443308026,-0.003253066223644574,0.00014461997322288658,-0.0021360241539678236
calificacion,-0.002260321391390775,0.007518162796887585,0.0010666917385372906,-0.0020297701901804475,1.0,0.7620973620269308,0.760522102582397,0.7557740317532461,0.7553742255712641,0.7573893320084962,0.1817136868927537,0.23569811285471803,0.4602504691820074
calificacion_duracion_bateria,-0.004487928395784377,0.00537405200081926,0.0010328665823790511,-0.007071272833705023,0.7620973620269308,1.0,0.5889384113592562,0.5843414755311512,0.5861430301231989,0.5844146331251836,0.12801400658091658,0.17042268611859843,0.3559642693978686
calificacion_camara,-0.001507011441304323,0.008937372563234928,0.0016170121143362797,0.00039078249267707345,0.760522102582397,0.5889384113592562,1.0,0.5799747988704159,0.5806916755947381,0.5819085355821305,0.12639670863320468,0.16858212374392403,0.3552804014530822
calificacion_rendimiento,0.003093556473270547,0.00470791726800448,-0.00488179690340612,0.004773706731862132,0.7557740317532461,0.5843414755311512,0.5799747988704159,1.0,0.5761147474313242,0.5805500890538715,0.12545282010530587,0.16830066199195248,0.35325996298976425
calificacion_disenho,-0.004945553383687488,0.010163367855811487,0.0026884102932983917,0.0031309607631937303,0.7553742255712641,0.5861430301231989,0.5806916755947381,0.5761147474313242,1.0,0.5791321746644937,0.12750444135097666,0.17116163503630863,0.3526432189434889
calificacion_pantalla,0.0007924259767922685,0.009175688757963145,-0.00046790505530674384,-0.00017937113443308026,0.7573893320084962,0.5844146331251836,0.5819085355821305,0.5805500890538715,0.5791321746644937,1.0,0.12861466230534302,0.16973092550100452,0.35242316799674006
longitud_de_resenha,-0.004541496563389552,-0.0025460076637637517,0.0005122205022497556,-0.003253066223644574,0.1817136868927537,0.12801400658091658,0.12639670863320468,0.12545282010530587,0.12750444135097666,0.12861466230534302,1.0,0.7802474238867452,0.07051099471527962
numero_de_palabras,-0.001280589357963882,-0.002833108616560014,-0.0034790208349403796,0.00014461997322288658,0.23569811285471803,0.17042268611859843,0.16858212374392403,0.16830066199195248,0.17116163503630863,0.16973092550100452,0.7802474238867452,1.0,0.115796018430072
votos_utiles,-0.011662403445470917,-0.005120559443726388,0.0029945627010846292,-0.0021360241539678236,0.4602504691820074,0.3559642693978686,0.3552804014530822,0.35325996298976425,0.3526432189434889,0.35242316799674006,0.07051099471527962,0.115796018430072,1.0
